"Dataset","Series Key","Series","Observation Date","Observation Value","Unit","Observation Status","Observation Status Comment"
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Dec-2017",".009066","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Nov-2017",".009488","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Oct-2017",".009548","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Sep-2017",".009494","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Aug-2017",".0095","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Jul-2017",".009495","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Jun-2017",".009543","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-May-2017",".009546","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Apr-2017",".00955","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Mar-2017",".009547","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","28-Feb-2017",".009547","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Jan-2017",".009547","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Dec-2016",".009552","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Nov-2016",".009548","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Oct-2016",".00955","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Sep-2016",".00956","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Aug-2016",".00955","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Jul-2016",".009548","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Jun-2016",".009556","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-May-2016",".009546","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Apr-2016",".009547","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Mar-2016",".009554","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","29-Feb-2016",".00956","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Jan-2016",".009538","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Dec-2015",".009551","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Nov-2015",".009487","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Oct-2015",".009491","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Sep-2015",".009583","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Aug-2015",".009624","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Jul-2015",".009828","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Jun-2015",".00983","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-May-2015",".009812","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Apr-2015",".009834","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Mar-2015",".009821","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","28-Feb-2015",".009829","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Jan-2015",".009901","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Dec-2014",".009957","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Nov-2014",".009835","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Oct-2014",".009727","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Sep-2014",".009757","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Aug-2014",".009815","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Jul-2014",".010133","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Jun-2014",".010137","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-May-2014",".010142","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","30-Apr-2014",".010163","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Mar-2014",".010205","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","28-Feb-2014",".009535","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Jan-2014",".009493","USD","Normal",""
"Bank Floating Month End Exchange Rates  (USD per National Currency)","TS_GP_ER_FMEERUSD_M.E00250","Month End USD per PKR","31-Dec-2013",".00947","USD","Normal",""
